Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","192.168.2.1","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

HTTP Server"
"10107","","","None","192.168.2.1","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

HTTP Server"
"10107","","","None","192.168.2.1","tcp","9000","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Linux/2.x.x, UPnP/1.0, pvConnect UPnP SDK/1.0, Twonky UPnP SDK/1.1"
"10107","","","None","192.168.2.1","tcp","9443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Linux/2.x.x, UPnP/1.0, pvConnect UPnP SDK/1.0, Twonky UPnP SDK/1.1"
"10107","","","None","192.168.2.1","tcp","10080","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

HTTP Server"
"10114","CVE-1999-0524","2.1","Low","192.168.2.1","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The ICMP timestamps seem to be in little endian format (not in network format)
The difference between the local and remote clocks is 80253 seconds.
"
"10150","","","None","192.168.2.1","tcp","445","Windows NetBIOS / SMB Remote Host Information Disclosure","It was possible to obtain the network name of the remote host.","The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.","n/a","","The following 2 NetBIOS names have been gathered :

 mynetwork        = Computer name
 mynetwork        = Workgroup / Domain name
"
"10287","","","None","192.168.2.1","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.2.109 to 192.168.2.1 : 
192.168.2.109
192.168.2.1

Hop Count: 1
"
"10386","","","None","192.168.2.1","tcp","80","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","
The following body tag will be used :
 class=""splash"""
"10386","","","None","192.168.2.1","tcp","443","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","
The following body tag will be used :
 class=""splash"""
"10395","","","None","192.168.2.1","tcp","445","Microsoft Windows SMB Shares Enumeration","It is possible to enumerate remote network shares.","By connecting to the remote host, Nessus was able to enumerate the
network share names.","n/a","","
Here are the SMB shares available on the remote host :

  - ipc$
"
"10663","","3.3","Low","192.168.2.1","udp","67","DHCP Server Detection","The remote DHCP server may expose information about the associated
network.","This script contacts the remote DHCP server (if any) and attempts to
retrieve information about the network layout. 

Some DHCP servers provide sensitive information such as the NIS domain
name, or network layout information such as the list of the network
web servers, and so on. 

It does not demonstrate any vulnerability, but a local attacker may
use DHCP to become intimately familiar with the associated network.","Apply filtering to keep this information off the network and remove
any options that are not in use.","","
Nessus gathered the following information from the remote DHCP server :

  Master DHCP server of this network : 0.0.0.0
  IP address the DHCP server would attribute us : 192.168.2.110
  DHCP server(s) identifier : 192.168.2.1
  Netmask : 255.255.255.0
  Router : 192.168.2.1
  Domain name server(s) : 192.168.2.1 , 207.164.234.193
  Domain name : home
  Broadcast address : 192.168.2.255

"
"10785","","","None","192.168.2.1","tcp","445","Microsoft Windows SMB NativeLanManager Remote System Information Disclosure","It was possible to obtain information about the remote operating
system.","Nessus was able to obtain the remote operating system name and version
(Windows and/or Samba) by sending an authentication request to port
139 or 445. Note that this plugin requires SMB to be enabled on the
host.","n/a","","Nessus was able to obtain the following information about the host, by 
parsing the SMB2 Protocol's NTLM SSP message:

	Target Name: mynetwork
	NetBIOS Domain Name: mynetwork
	NetBIOS Computer Name: mynetwork
	DNS Domain Name: mynetwork
	DNS Computer Name: mynetwork
	DNS Tree Name: unknown
	Product Version: unknown
"
"10863","","","None","192.168.2.1","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Country: FR
Organization: Sagemcom Ca
Common Name: self-signedkey

Issuer Name: 

Country: FR
Organization: Sagemcom Ca
Common Name: self-signedkey

Serial Number: 00 C4 BB EC EC C0 43 03 A2 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Oct 02 09:55:43 2015 GMT
Not Valid After: Sep 08 09:55:43 2115 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 BD B2 F0 87 4F 4B C6 40 B7 40 1A 51 D2 23 07 D0 C1 06 5C 
            D8 F2 F7 F7 43 F2 F9 C8 1D E8 64 C3 C1 44 3B 65 70 63 50 7F 
            8D 72 F7 0C 11 92 33 40 5C 4C 8C 72 DA 2B 0E D7 89 11 61 2F 
            C1 5A E7 69 F9 9C 12 AA 6E 34 C9 5A 32 54 EF 0A 30 B4 40 54 
            85 25 0C 99 56 B1 5A 10 5E 91 0C E6 3A 41 A3 D1 C5 F5 CD E9 
            92 2C 42 8F E4 40 75 DD 68 2C 47 F9 39 82 65 FD 0B E6 5A C6 
            E6 F6 53 52 AA E5 A1 92 BB 8A 66 A1 92 9A 3E 89 C3 ED 19 F1 
            5D 48 36 54 84 E8 A6 7C 3C D3 68 CB 3C D0 E4 68 20 5B F3 13 
            DE 09 B3 D2 A3 DF E6 F0 DA EF 44 21 1D 32 B8 B2 B2 8A 95 97 
            97 43 92 01 C2 2E F6 54 C6 CD 28 5B 80 2A 61 2C 5D C7 A4 D0 
            A1 E1 B0 D7 F1 1C 8D C0 74 B3 87 E1 36 7E DB 2C 14 55 C9 D9 
            DF 58 95 70 5D 89 F5 20 34 8C 9D 2E 34 32 0C F1 58 F8 5E 01 
            1E A1 86 ED 61 D3 A2 0E D7 7A D7 CC FE 4D 46 B6 49 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 2D 28 EF F6 8F 73 1D 86 16 56 B1 30 FD B1 66 55 7B B8 69 
           D4 BF 26 D4 48 91 01 2D 9E B1 46 AA B3 7D C3 A8 02 24 28 62 
           3F 6A C7 72 EC 46 D1 BC 4A 65 DB B9 1E 0B FB C3 98 BF B5 2A 
           F9 80 31 1B 31 BF B2 5C 80 85 39 88 F9 7A 65 4E 99 EF 8E 65 
           59 C7 18 8F 14 7A 6C E3 93 73 82 37 69 F4 68 8C 3F 19 4F 76 
           6E 28 8A 30 F9 5A B9 14 F7 8D D3 09 56 54 C2 DD F0 EF 9C 56 
           B1 2F 4E D5 B4 5F 6E CC 06 E7 11 F1 6E BD DF 83 B4 EC 13 15 
           B8 D4 C3 B4 EA 4E 28 1A 70 52 23 25 02 98 70 5A C3 4E 77 DF 
           2D EE 7B 88 9B 35 40 82 4D DB 74 F0 79 47 2A B9 2B 83 B7 59 
           94 64 A4 D7 2B 1C 30 3C 3C CF 47 E6 1F B7 42 B9 5A 0E B8 83 
           55 08 72 C1 02 AD 98 3B F9 11 94 6A 6D 97 03 6B C5 35 A7 22 
           A5 4E E9 EF 7D 50 ED B3 0D 1A 60 4D B9 DD 5A 97 2E F1 01 E6 
           5B 97 C9 F1 D6 DB 9F 55 9C DD 79 E0 31 19 98 B8 4D 

Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: D2 F6 17 E7 F3 AE D4 46 70 97 84 14 11 CE FD 8C B3 78 59 2A 


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: D2 F6 17 E7 F3 AE D4 46 70 97 84 14 11 CE FD 8C B3 78 59 2A 


Extension: Basic Constraints (2.5.29.19)
Critical: 0
CA: TRUE


Fingerprints : 

SHA-256 Fingerprint: D1 9A 4E 88 FB 88 E9 85 C4 9D E3 E7 5F C0 85 D5 5E 47 CA CF 
                     88 70 AC 42 9A 69 2B 8E 7B 14 97 FA 
SHA-1 Fingerprint: 64 5D 99 D4 85 7F 87 CF FB 5F FA AD 34 61 3E 6D 97 48 27 45 
MD5 Fingerprint: 31 77 0C 7A 53 23 D7 77 03 80 97 B6 40 2C 7A 15 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIDTTCCAjWgAwIBAgIJAMS77OzAQwOiMA0GCSqGSIb3DQEBCwUAMDwxCzAJBgNVBAYTAkZSMRQwEgYDVQQKDAtTYWdlbWNvbSBDYTEXMBUGA1UEAwwOc2VsZi1zaWduZWRrZXkwIBcNMTUxMDAyMDk1NTQzWhgPMjExNTA5MDgwOTU1NDNaMDwxCzAJBgNVBAYTAkZSMRQwEgYDVQQKDAtTYWdlbWNvbSBDYTEXMBUGA1UEAwwOc2VsZi1zaWduZWRrZXkwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC9svCHT0vGQLdAGlHSIwfQwQZc2PL390Py+cgd6GTDwUQ7ZXBjUH+NcvcMEZIzQFxMjHLaKw7XiRFhL8Fa52n5nBKqbjTJWjJU7wowtEBUhSUMmVaxWhBekQzmOkGj0cX1zemSLEKP5EB13WgsR/k5gmX9C+Zaxub2U1Kq5aGSu4pmoZKaPonD7RnxXUg2VITopnw802jLPNDkaCBb8xPeCbPSo9/m8NrvRCEdMriysoqVl5dDkgHCLvZUxs0oW4AqYSxdx6TQoeGw1/EcjcB0s4fhNn7bLBRVydnfWJVwXYn1IDSMnS40MgzxWPheAR6hhu1h06IO13rXzP5NRrZJAgMBAAGjUDBOMB0GA1UdDgQWBBTS9hfn867URnCXhBQRzv2Ms3hZKjAfBgNVHSMEGDAWgBTS9hfn867URnCXhBQRzv2Ms3hZKjAMBgNVHRMEBTADAQH/MA0GCSqGSIb3DQEBCwUAA4IBAQAtKO/2j3MdhhZWsTD9sWZVe7hp1L8m1EiRAS2esUaqs33DqAIkKGI/asdy7EbRvEpl27keC/vDmL+1KvmAMRsxv7JcgIU5iPl6ZU6Z745lWccYjxR6bOOTc4I3afRojD8ZT3ZuKIow+Vq5FPeN0wlWVMLd8O+cVrEvTtW0X27MBucR8W6934O07BMVuNTDtOpOKBpwUiMlAphwWsNOd98t7nuImzVAgk3bdPB5Ryq5K4O3WZRkpNcrHDA8PM9H5h+3QrlaDriDVQhywQKtmDv5EZRqbZcDa8U1pyKlTunvfVDtsw0aYE253VqXLvEB5luXyfHW259VnN154DEZmLhN
-----END CERTIFICATE-----"
